Temparature,Humidity,Moisture,Nitrogen,Potassium,Phosphorous,Fertilizer Name,Crop Type,Soil Type
20.9,47.22,27.39,18,4,20,Maize,Paddy,Sandy
20.91,53.57,27.39,16,12,15,Oil seeds,Oil seeds,Sandy
21.05,42.39,91.71,12,75,8,Paddy,Barley,Sandy
21.05,55.2,27.39,21,0,23,Barley,Ground Nuts,Sandy
21.05,45.03,27.39,31,4,0,Maize,Cotton,Sandy
21.07,43.97,221.71,4,205,19,Millets,Tobacco,Sandy
21.07,60.95,27.39,6,0,6,Maize,Millets,Sandy
21.07,61.79,27.39,9,8,10,Ground Nuts,Ground Nuts,Sandy
21.09,49.87,27.39,13,13,13,Paddy,Paddy,Sandy
21.09,58.26,27.39,25,0,22,Oil seeds,Pulses,Sandy
21.1,51.51,27.39,9,20,19,Barley,Oil seeds,Sandy
21.1,46.31,27.39,13,15,13,Barley,Cotton,Sandy
21.1,51.91,27.39,18,0,13,Millets,Cotton,Sandy
21.11,49.36,27.39,6,3,8,Ground Nuts,Oil seeds,Sandy
21.11,46.75,27.39,13,0,6,Millets,Paddy,Sandy
21.12,49.29,27.39,22,0,19,Millets,Millets,Sandy
21.14,58.75,27.39,14,0,13,Oil seeds,Maize,Sandy
21.15,56.41,27.39,8,5,17,Cotton,Millets,Sandy
21.15,48.8,27.39,11,4,10,Barley,Pulses,Sandy
21.15,51.19,27.39,13,14,10,Millets,Sugarcane,Sandy
21.17,53.65,27.39,4,14,22,Paddy,Wheat,Sandy
21.17,41.47,59.71,6,43,13,Barley,Wheat,Sandy
21.17,57.9,27.39,19,0,23,Ground Nuts,Cotton,Sandy
21.18,47.08,27.39,20,0,22,Barley,Paddy,Sandy
21.2,52.42,27.39,7,0,12,Millets,Barley,Sandy
21.2,56.27,27.39,9,0,8,Cotton,Oil seeds,Sandy
21.2,48.29,27.39,34,2,0,Barley,Barley,Sandy
21.23,44.7,319.71,4,13,15,Paddy,Millets,Sandy
21.23,46.1,27.39,8,10,15,Cotton,Ground Nuts,Sandy
21.23,56.98,27.39,31,0,3,Cotton,Cotton,Sandy
21.24,55.11,27.39,25,0,19,Millets,Oil seeds,Sandy
21.24,47.35,27.39,28,0,20,Cotton,Ground Nuts,Sandy
21.26,40.17,27.39,13,10,12,Cotton,Wheat,Sandy
21.26,57.97,27.39,25,2,15,Maize,Maize,Sandy
21.27,59.98,27.39,9,1,37,Barley,Paddy,Sandy
21.28,54.65,27.39,8,0,4,Millets,Cotton,Sandy
21.28,52.32,27.39,14,11,9,Maize,Tobacco,Sandy
21.29,54.85,27.39,11,0,39,Ground Nuts,Millets,Sandy
21.29,52.95,27.39,15,3,12,Millets,Oil seeds,Sandy
21.31,51.38,27.39,18,18,8,Cotton,Paddy,Sandy
21.31,45.08,27.39,22,0,16,Maize,Paddy,Sandy
21.31,57.18,27.39,22,0,16,Barley,Cotton,Sandy
21.33,53.57,27.39,7,13,19,Oil seeds,Millets,Sandy
21.33,59.53,27.39,11,0,17,Millets,Pulses,Sandy
21.33,49.11,27.39,21,0,21,Paddy,Tobacco,Sandy
21.34,47.91,27.39,13,2,6,Barley,Barley,Sandy
21.34,54.69,27.39,20,2,26,Cotton,Pulses,Sandy
21.35989415,54.8663177,27.39,11,0,38,Ground Nuts,Millets,Sandy
21.36,56.53,27.39,3,15,24,Millets,Maize,Sandy
21.36,44.67,315.71,11,0,11,Barley,Oil seeds,Sandy
21.36,54.65,27.39,22,4,22,Oil seeds,Tobacco,Sandy
21.36,46.46,27.39,23,1,21,Oil seeds,Cotton,Sandy
21.37,53.85,27.39,4,17,17,Oil seeds,Ground Nuts,Sandy
21.37,57.03,27.39,6,0,9,Ground Nuts,Millets,Sandy
21.37,45.22,27.39,7,16,19,Cotton,Pulses,Sandy
21.4,45.95,27.39,13,3,9,Millets,Cotton,Sandy
21.41,53.24,27.39,21,0,17,Cotton,Ground Nuts,Sandy
21.42,48.7,27.39,15,15,14,Millets,Wheat,Sandy
21.43,41.07,52.71,12,36,5,Cotton,Tobacco,Sandy
21.44,57.52,27.39,7,0,5,Millets,Cotton,Sandy
21.44,43.3,154.71,23,138,15,Ground Nuts,Cotton,Sandy
21.45,47.54,27.39,21,0,20,Ground Nuts,Tobacco,Sandy
21.46,49.42,27.39,27,0,19,Paddy,Cotton,Sandy
21.47,45.29,27.39,10,21,14,Oil seeds,Pulses,Sandy
21.47,50.02,27.39,17,0,38,Maize,Millets,Sandy
21.48,40.33,27.39,13,16,7,Oil seeds,Maize,Sandy
21.48,43.69,200.71,13,184,10,Paddy,Oil seeds,Sandy
21.48,45.7,27.39,16,0,21,Millets,Tobacco,Sandy
21.49,46.99,27.39,3,20,17,Ground Nuts,Cotton,Sandy
21.51,50.09,27.39,10,6,10,Ground Nuts,Maize,Sandy
21.51,55.9,27.39,22,3,22,Millets,Maize,Sandy
21.52,61.31,27.39,9,0,37,Cotton,Ground Nuts,Sandy
21.52,56.82,27.39,21,2,20,Oil seeds,Tobacco,Sandy
21.54,43.75,210.71,7,194,7,Barley,Wheat,Sandy
21.54,44.06,229.71,17,213,21,Oil seeds,Maize,Sandy
21.54,58.62,27.39,22,4,20,Maize,Paddy,Sandy
21.54,46.95,27.39,36,2,0,Maize,Paddy,Sandy
21.55,59.81,27.39,9,12,15,Ground Nuts,Wheat,Sandy
21.55,53.17,27.39,22,1,18,Oil seeds,Paddy,Sandy
21.56,46.27,27.39,14,10,13,Ground Nuts,Barley,Sandy
21.56,48.99,27.39,32,1,4,Paddy,Wheat,Sandy
21.57,52.34,27.39,12,15,7,Cotton,Sugarcane,Sandy
21.57,50.51,27.39,18,0,14,Oil seeds,Wheat,Sandy
21.58,47.1,27.39,35,0,0,Paddy,Paddy,Sandy
21.59,54.14,27.39,14,0,13,Oil seeds,Barley,Sandy
21.59,47.89,27.39,22,3,20,Barley,Barley,Sandy
21.61,55.14,27.39,17,18,10,Ground Nuts,Maize,Sandy
21.63,56.14,27.39,11,15,11,Maize,Maize,Sandy
21.63,57.14,27.39,13,14,8,Oil seeds,Cotton,Sandy
21.64,58.14,27.39,7,0,11,Paddy,Ground Nuts,Sandy
21.65956503,59.14,27.39,13,0,6,Millets,Paddy,Sandy
21.66,60.14,27.39,38,4,1,Maize,Wheat,Sandy
21.67,61.14,27.39,8,17,12,Paddy,Oil seeds,Sandy
21.68,62.14,27.39,16,0,12,Paddy,Pulses,Sandy
21.68,63.14,27.39,16,0,12,Barley,Ground Nuts,Sandy
21.7,66.14,27.39,11,12,21,Millets,Ground Nuts,Sandy
21.7,65.14,27.39,35,0,0,Paddy,Maize,Sandy
21.7,64.14,27.39,36,0,4,Barley,Maize,Sandy
21.71,69.14,27.39,15,14,10,Paddy,Paddy,Sandy
21.71,67.14,27.39,18,0,20,Cotton,Pulses,Sandy
21.71,68.14,27.39,21,0,23,Paddy,Sugarcane,Sandy
21.73,70.14,27.39,4,14,15,Maize,Maize,Sandy
21.74,72.14,38.4,9,4,36,Cotton,Oil seeds,Sandy
21.74,71.14,27.39,10,17,19,Paddy,Barley,Sandy
21.75,73.14,26.34,15,4,12,Ground Nuts,Wheat,Sandy
21.76,74.14,30.34,12,4,17,Cotton,Ground Nuts,Sandy
21.78,76.14,29.02,36,2,1,Barley,Barley,Sandy
21.78,75.14,33.66,37,3,0,Barley,Maize,Sandy
21.78,77.14,33.66,37,3,0,Barley,Maize,Sandy
21.78,78.14,33.66,37,3,0,Barley,Maize,Sandy
21.78772922,79.14,41.73870738,15,1,17,Maize,Paddy,Sandy
21.81,80.14,64.1,9,2,11,Paddy,Sugarcane,Sandy
21.81,81.14,53.45,24,0,17,Cotton,Maize,Sandy
21.82,52.68,30.79,9,5,13,Oil seeds,Oil seeds,Sandy
21.82,45.06,32.09,19,1,16,Maize,Cotton,Sandy
21.84,57.85,61.44,9,3,10,Barley,Millets,Sandy
21.84,58.1,32.37,10,13,12,Millets,Wheat,Sandy
21.84,58.79,53.97,10,13,11,Cotton,Maize,Sandy
21.85,44,224.71,11,208,17,Cotton,Cotton,Sandy
21.85,49.88,44.21,20,4,20,Barley,Barley,Sandy
21.86,61.37,27.44,9,17,15,Barley,Millets,Sandy
21.87,46.4,37.57,16,1,19,Millets,Paddy,Sandy
21.89,59.24,50.57,9,0,6,Maize,Pulses,Sandy
21.89,47.55,48.68,15,11,15,Ground Nuts,Cotton,Sandy
21.89,49.75,40.89,15,0,45,Maize,Paddy,Sandy
21.91,46.66,45.27,24,0,21,Cotton,Millets,Sandy
21.92,52.16,29.78,2,15,17,Barley,Wheat,Sandy
21.92,53,33.57,18,0,42,Ground Nuts,Barley,Sandy
21.93,44.5,288.71,15,1,7,Cotton,Maize,Sandy
21.93,47.19,41.85,20,0,23,Maize,Oil seeds,Sandy
21.94,46.3,27.7,10,0,14,Cotton,Sugarcane,Sandy
21.95,59.83,69.07,38,0,0,Oil seeds,Wheat,Sandy
21.95,50.68,43.79,41,2,0,Barley,Tobacco,Sandy
21.96,40.71,40.71,9,24,11,Maize,Oil seeds,Sandy
21.97,48.06,43.61,27,0,17,Paddy,Cotton,Sandy
21.98,50.4,45.37,21,0,19,Barley,Ground Nuts,Sandy
21.99,53.33,61.68,5,3,14,Cotton,Oil seeds,Sandy
21.99,47.5,60.36,35,0,3,Oil seeds,Wheat,Sandy
22,57.32,45.85,5,17,18,Millets,Tobacco,Sandy
22.02,60.75,52.93,22,2,17,Oil seeds,Barley,Sandy
22.02749036,47.13838746,45.14746805,18,0,25,Maize,Oil seeds,Sandy
22.03,55.73,44.87,20,0,17,Oil seeds,Wheat,Sandy
22.03646464,46.8311385,37.01300965,26,0,23,Maize,Cotton,Sandy
22.04,58.49,29.03,8,19,17,Cotton,Ground Nuts,Sandy
22.04,42.62,107.71,10,91,45,Oil seeds,Wheat,Sandy
22.04,60.41,51.67,19,0,19,Ground Nuts,Paddy,Sandy
22.05,52.83,36.27,14,4,45,Maize,Sugarcane,Sandy
22.05,46.19,28.77,16,0,15,Millets,Ground Nuts,Sandy
22.05,60.6,39.49,16,1,39,Millets,Barley,Sandy
22.06,56.16,61.45,11,0,16,Cotton,Tobacco,Sandy
22.06,52.67,39.56,35,0,0,Paddy,Maize,Sandy
22.06,53.64,62.43,38,0,2,Paddy,Millets,Sandy
22.07,46.52,31.3,15,0,10,Barley,Pulses,Sandy
22.07,52.72,24.22,17,15,14,Barley,Millets,Sandy
22.07,51.67,51.97,20,0,26,Cotton,Tobacco,Sandy
22.07,43.99,223.71,44,207,0,Paddy,Sugarcane,Sandy
22.07,43.99,223.71,44,207,0,Paddy,Sugarcane,Sandy
22.08,55.41,30.32,12,13,16,Ground Nuts,Tobacco,Sandy
22.1,47.1,47.6,18,1,27,Maize,Oil seeds,Sandy
22.1,52.62,42.41,24,0,19,Ground Nuts,Paddy,Sandy
22.1,58.03,39.29,27,0,15,Maize,Pulses,Sandy
22.11,50.94,33.26,12,14,13,Cotton,Millets,Sandy
22.12,45.25,38.99,7,12,19,Ground Nuts,Tobacco,Sandy
22.12,53.06,40.13,15,2,36,Cotton,Pulses,Sandy
22.13,50.96,59.06,8,0,10,Paddy,Cotton,Sandy
22.13,57.13,50.74,10,13,18,Cotton,Paddy,Sandy
22.15,48.66,61,10,0,8,Maize,Oil seeds,Sandy
22.15,54.75,39.9,24,0,20,Millets,Barley,Sandy
22.15,60.48,34.02,33,0,0,Millets,Sugarcane,Sandy
22.15,57.99,69.1,40,1,0,Cotton,Millets,Sandy
22.16,53.56,37.96,16,8,9,Cotton,Barley,Sandy
22.16,44,225.71,16,209,18,Paddy,Tobacco,Sandy
22.16,43.31,155.71,18,139,9,Cotton,Pulses,Sandy
22.17,47.78,43.03,15,0,16,Millets,Paddy,Sandy
22.17,47.78,43.03,15,0,16,Millets,Paddy,Sandy
22.17,47.78,43.03,15,0,16,Millets,Paddy,Sandy
22.18,48.97,24.49,9,0,42,Oil seeds,Maize,Sandy
22.18,60.13,31.3,14,0,12,Paddy,Maize,Sandy
22.19,49.39,34.73,33,0,0,Paddy,Cotton,Sandy
22.2,55.19,60.43,8,0,5,Barley,Wheat,Sandy
22.21,46.25,51.97,9,0,9,Millets,Barley,Sandy
22.21,52.71,52.42,12,0,12,Millets,Sugarcane,Sandy
22.21,43.72,203.71,14,187,14,Paddy,Oil seeds,Sandy
22.22,54.98,60.43,15,8,18,Barley,Paddy,Sandy
22.22847018,52.46616553,30.62780357,8,4,12,Millets,Oil seeds,Sandy
22.24,53.86,57.32,9,17,15,Paddy,Ground Nuts,Sandy
22.25,51.9,65.54,13,0,19,Millets,Tobacco,Sandy
22.25,58.5,48.46,19,0,14,Maize,Pulses,Sandy
22.26,51.36,48.36,6,16,17,Paddy,Tobacco,Sandy
22.26,51.36,48.36,6,16,17,Paddy,Tobacco,Sandy
22.26,51.36,48.36,6,16,17,Paddy,Tobacco,Sandy
22.26,52.88,34.12,18,0,19,Maize,Cotton,Sandy
22.26,42.14,82.71,22,66,17,Barley,Millets,Sandy
22.26,58.83,33.35,23,0,26,Barley,Millets,Sandy
22.27,58.06,38.54,2,16,19,Millets,Tobacco,Sandy
22.27,61.81,43.11,10,15,20,Oil seeds,Paddy,Sandy
22.27,59.9,51.79,12,2,11,Maize,Ground Nuts,Sandy
22.27,40.25,63.8,12,15,11,Barley,Sugarcane,Sandy
22.27,53.03,30,15,0,11,Ground Nuts,Sugarcane,Sandy
22.27,53.67,28.01,16,0,13,Barley,Pulses,Sandy
22.28,44.81,333.71,8,4,9,Millets,Oil seeds,Sandy
22.28,43.79,213.71,11,197,6,Millets,Maize,Sandy
22.28,49.48,37.92,16,2,15,Maize,Barley,Sandy
22.28,40.57,65.74,38,20,1,Ground Nuts,Maize,Sandy
22.28,49.97,42.28,44,0,0,Paddy,Pulses,Sandy
22.29,47.57,66.46,11,0,12,Millets,Oil seeds,Sandy
22.3,56.51,42.72,1,23,17,Millets,Tobacco,Sandy
22.3,49.05,68.42,9,2,12,Millets,Cotton,Sandy
22.3,60.64,40.78,39,0,2,Millets,Ground Nuts,Sandy
22.3,60.64,40.78,39,0,2,Millets,Ground Nuts,Sandy
22.3,60.64,40.78,39,0,2,Millets,Ground Nuts,Sandy
22.31,41.54,62.71,10,46,7,Ground Nuts,Pulses,Sandy
22.31,49.61,31.26,17,0,17,Oil seeds,Wheat,Sandy
22.32,56.11,24.06,15,0,38,Ground Nuts,Maize,Sandy
22.33,50.62,42.7,4,18,21,Maize,Tobacco,Sandy
22.33,48.89,28.54,6,19,17,Oil seeds,Tobacco,Sandy
22.33,56.84,29.98,18,4,23,Cotton,Ground Nuts,Sandy
22.33,46.53,40.1,27,1,14,Oil seeds,Cotton,Sandy
22.34,53.62,38.61,16,1,5,Ground Nuts,Wheat,Sandy
22.34,45.29,39.49,38,0,0,Barley,Millets,Sandy
22.37,54.2,28.21,16,4,40,Barley,Pulses,Sandy
22.37,59.31,53.4,25,1,21,Cotton,Millets,Sandy
22.37,49,70,40,1,0,Millets,Paddy,Sandy
22.38,50.14,29.26,17,3,44,Paddy,Ground Nuts,Sandy
22.39,55.39,53.07,11,0,17,Barley,Barley,Sandy
22.39,61.19,37.56,21,4,21,Cotton,Millets,Sandy
22.39,59.45,42.31,27,2,18,Barley,Pulses,Sandy
22.4,57.86,63.99,10,0,8,Paddy,Pulses,Sandy
22.4,49.31,34.05,15,2,35,Oil seeds,Cotton,Sandy
22.41,58.55,33.15,9,0,14,Paddy,Millets,Sandy
22.42,43.59,191.71,1,175,15,Millets,Pulses,Sandy
22.43,56.08,31.03,39,3,4,Millets,Sugarcane,Sandy
22.44,58.98,31.46,11,0,15,Maize,Oil seeds,Sandy
22.46,61.78,36.74,14,3,38,Cotton,Cotton,Sandy
22.46,48.46,43.17,17,0,23,Ground Nuts,Tobacco,Sandy
22.47,54.03,32.7,35,2,0,Barley,Ground Nuts,Sandy
22.48,53.68,29.96,18,17,10,Barley,Millets,Sandy
22.48266018,48.3951637,43.23071626,17,0,23,Ground Nuts,Tobacco,Sandy
22.49,53.29,40.75,24,3,27,Ground Nuts,Ground Nuts,Sandy
22.49,46.82,30.38,33,0,0,Paddy,Tobacco,Sandy
22.49,47.55,30.52,40,0,0,Ground Nuts,Wheat,Sandy
22.5,58.83,39.36,10,4,12,Paddy,Oil seeds,Sandy
22.5,42.27,88.71,18,72,17,Paddy,Maize,Sandy
22.5,43.53,184.71,38,168,0,Barley,Sugarcane,Sandy
22.5,51.88,36.58,41,0,2,Barley,Millets,Sandy
22.51,50.31,30.59,17,12,10,Oil seeds,Maize,Sandy
22.52,49.65,29.74,20,2,15,Oil seeds,Wheat,Sandy
22.52,59.32,31.39,36,0,3,Ground Nuts,Sugarcane,Sandy
22.53,60.17,52.65,26,0,17,Cotton,Pulses,Sandy
22.54,58.92,51.76,10,4,11,Barley,Maize,Sandy
22.54,44.49,285.71,14,9,15,Ground Nuts,Barley,Sandy
22.54,52.75,31.79,21,3,18,Oil seeds,Millets,Sandy
22.55,43.39,163.71,4,147,12,Paddy,Millets,Sandy
22.55,56.57,51.93,19,0,26,Paddy,Oil seeds,Sandy
22.55,58.99,43.67,20,0,23,Barley,Oil seeds,Sandy
22.55,57.45,46.58,24,1,24,Oil seeds,Paddy,Sandy
22.56,50.58,29.13,12,0,17,Maize,Oil seeds,Sandy
22.56,53.06,45.6,32,1,4,Cotton,Tobacco,Sandy
22.57,49.51,27.81,13,1,6,Maize,Ground Nuts,Sandy
22.57,45.63,25.22,36,4,0,Maize,Pulses,Sandy
22.58,58.31,38.97,32,0,0,Paddy,Paddy,Sandy
22.58,47.54,39.32,34,0,3,Paddy,Ground Nuts,Sandy
22.58035658,57.42024878,30.49488183,8,20,14,Ground Nuts,Barley,Sandy
22.59,58.51,42.18,10,22,13,Barley,Millets,Sandy
22.59,56.96,27.15,16,0,45,Barley,Barley,Sandy
22.59,47.12,34.78,22,0,19,Maize,Ground Nuts,Sandy
22.59,45.7,33.13,38,0,4,Cotton,Maize,Sandy
22.59,45.7,33.13,38,0,4,Cotton,Maize,Sandy
22.59,45.7,33.13,38,0,4,Cotton,Maize,Sandy
22.6,44.65,313.71,17,0,36,Ground Nuts,Barley,Sandy
22.6,60.21,36.97,18,3,25,Maize,Wheat,Sandy
22.6,55.01,40.3,39,0,0,Oil seeds,Cotton,Sandy
22.61,52.77,41.72,10,1,4,Barley,Paddy,Sandy
22.61,60.89,53.36,27,0,18,Ground Nuts,Ground Nuts,Sandy
22.61,51.15,40.5,38,0,0,Paddy,Barley,Sandy
22.62,60.09,38.4,11,3,36,Paddy,Sugarcane,Sandy
22.62,42.74,113.71,18,97,9,Cotton,Sugarcane,Sandy
22.63,51.01,51.05,25,0,21,Oil seeds,Maize,Sandy
22.64,49.3,30.33,9,4,12,Paddy,Paddy,Sandy
22.64,48.24,38.55,13,0,17,Paddy,Maize,Sandy
22.64737227,59.98190137,62.35209377,11,14,10,Maize,Ground Nuts,Sandy
22.65,53.84,38.27,19,0,17,Barley,Sugarcane,Sandy
22.65,53.88,25.63,30,0,0,Oil seeds,Oil seeds,Sandy
22.66,52.77,39.99,18,0,18,Paddy,Wheat,Sandy
22.66929187,49.02600625,26.98856246,11,0,15,Maize,Oil seeds,Sandy
22.67,44.94,57.31,21,0,19,Cotton,Sugarcane,Sandy
22.68,56.76,68.02,8,0,11,Barley,Cotton,Sandy
22.68,55.72,37.57,11,3,17,Maize,Tobacco,Sandy
22.68,53.23,44.85,38,2,4,Ground Nuts,Oil seeds,Sandy
22.68,57.34,70,39,0,1,Cotton,Oil seeds,Sandy
22.68,61.46,42.62,40,0,1,Paddy,Pulses,Sandy
22.69,51.37,61.27,8,0,19,Paddy,Oil seeds,Sandy
22.71,49.95,45.22,6,12,23,Cotton,Tobacco,Sandy
22.71,50.4,40.46,27,2,24,Paddy,Pulses,Sandy
22.72,50.47,51.87,9,17,11,Oil seeds,Sugarcane,Sandy
22.72,44.19,246.71,38,230,3,Cotton,Pulses,Sandy
22.7258498,51.52144927,38.95830318,5,14,17,Cotton,Cotton,Sandy
22.73,57.96,38.9,20,4,24,Paddy,Barley,Sandy
22.74,59.33,60.29,14,0,4,Oil seeds,Cotton,Sandy
22.76,49.09,32.91,1,22,19,Cotton,Pulses,Sandy
22.76,48.08,34.55,37,4,0,Paddy,Maize,Sandy
22.77,60.17,30.85,36,0,2,Paddy,Wheat,Sandy
22.78,54.73,52.62,18,2,14,Paddy,Tobacco,Sandy
22.78,51.18,70,33,3,0,Paddy,Ground Nuts,Sandy
22.78,60.52,42.05,39,3,0,Millets,Maize,Sandy
22.79,48.84,56.1,6,0,12,Paddy,Paddy,Sandy
22.79,44.82,36.75,20,0,22,Oil seeds,Sugarcane,Sandy
22.79,55.32,40.35,24,0,22,Barley,Maize,Sandy
22.79,59.47,28.56,37,0,0,Barley,Millets,Sandy
22.8,50.13,24.57,11,3,44,Cotton,Maize,Sandy
22.8,50.11,38.86,18,0,16,Barley,Cotton,Sandy
22.8,50.81,39.07,24,0,19,Oil seeds,Ground Nuts,Sandy
22.81,48.89,28.47,16,0,11,Maize,Maize,Sandy
22.82,48.25,49.55,21,0,24,Millets,Maize,Sandy
22.83,46.9,34.09,9,0,42,Oil seeds,Wheat,Sandy
22.83,48.52,61.42,13,0,12,Paddy,Tobacco,Sandy
22.83431448,52.18529097,45.66478045,38,2,3,Cotton,Oil seeds,Sandy
22.84,59.33,62.69,10,0,7,Oil seeds,Wheat,Sandy
22.85,56.83,57.72,9,4,14,Millets,Cotton,Sandy
22.85,55.1,29.09,13,1,43,Cotton,Oil seeds,Sandy
22.85,48.3,34.63,21,0,19,Ground Nuts,Tobacco,Sandy
22.87,45.11,21.74,13,13,13,Oil seeds,Sugarcane,Sandy
22.87,44.91,24.78,19,14,13,Millets,Barley,Sandy
22.87,46.84,31.51,22,0,19,Maize,Oil seeds,Sandy
22.87,41.97,73.71,37,57,0,Barley,Cotton,Sandy
22.88,50.27,31.25,8,22,11,Cotton,Maize,Sandy
22.88,46.03,22.86,11,0,13,Millets,Oil seeds,Sandy
22.89,48,49.12,5,5,26,Ground Nuts,Barley,Sandy
22.9,52.41,37.35,8,4,16,Paddy,Maize,Sandy
22.91,57.98,48.26,24,4,22,Ground Nuts,Ground Nuts,Sandy
22.91,52.89,43.54,36,0,0,Ground Nuts,Ground Nuts,Sandy
22.92,58.85,40.66,7,14,24,Barley,Wheat,Sandy
22.92,51.28,23.58,36,0,0,Cotton,Millets,Sandy
22.92,43.75,211.71,37,195,0,Cotton,Oil seeds,Sandy
22.92838985,44.80547654,332.71,12,0,36,Millets,Cotton,Sandy
22.93,58.97,53.96,6,0,10,Paddy,Sugarcane,Sandy
22.93,52.54,39.37,9,0,8,Millets,Cotton,Sandy
22.93,59.18,36.33,11,0,38,Ground Nuts,Pulses,Sandy
22.93,58.67,22,17,3,40,Ground Nuts,Wheat,Sandy
22.93,53.13,31.62,35,0,0,Paddy,Wheat,Sandy
22.94,62.54,60.3,7,3,19,Paddy,Maize,Sandy
22.94,55.21,33.2,21,0,26,Oil seeds,Sugarcane,Sandy
22.94,46.81,28.94,45,1,0,Barley,Oil seeds,Sandy
22.94,46.81,28.94,45,1,0,Barley,Oil seeds,Sandy
22.95,47.87,42.49,7,14,17,Cotton,Sugarcane,Sandy
22.95,55.86,31.58,16,3,22,Millets,Paddy,Sandy
22.95,55.86,31.58,16,3,22,Millets,Paddy,Sandy
22.95,55.86,31.58,16,3,22,Millets,Paddy,Sandy
22.95,47.88,36.75,43,0,0,Cotton,Pulses,Sandy
22.96,56.23,30.77,18,4,39,Paddy,Cotton,Sandy
22.96,62.5,41.58,20,3,27,Maize,Cotton,Sandy
22.97,52.59,58.34,11,0,17,Barley,Maize,Sandy
22.97,45.2,30.14,15,0,11,Maize,Wheat,Sandy
22.97,44.59,302.71,19,3,28,Millets,Barley,Sandy
22.97,50.21,48.12,23,0,18,Barley,Millets,Sandy
22.98,47.12,45.24,10,20,24,Cotton,Millets,Sandy
22.99,40.85,45.71,11,29,16,Oil seeds,Millets,Sandy
22.99,44.67,316.71,18,0,16,Ground Nuts,Paddy,Sandy
23,53.85,26.32,11,1,12,Paddy,Cotton,Sandy
